
 The feature 116 is ranked 1 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 2(Theta     : [4 8] Hz); power type N°: 2, Type : Retalive.
 The feature 88 is ranked 2 and comes from method N°:  1  (spect_fourier_power); channel N°: 6(F4); band N°: 4(Alpha     : [12 16] Hz); power type N°: 2, Type : Retalive.
 The feature 17 is ranked 3 and comes from method N°:  1  (spect_fourier_power); channel N°: 2(Fp2); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 1, Type : Absolute.
 The feature 173 is ranked 4 and comes from method N°:  1  (spect_fourier_power); channel N°: 11(P3); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 1, Type : Absolute.
 The feature 228 is ranked 5 and comes from method N°:  1  (spect_fourier_power); channel N°: 15(Oz); band N°: 2(Theta     : [4 8] Hz); power type N°: 2, Type : Retalive.
 The feature 125 is ranked 6 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 1, Type : Absolute.
 The feature 185 is ranked 7 and comes from method N°:  1  (spect_fourier_power); channel N°: 12(Pz); band N°: 5(Beta      : [16 32] Hz); power type N°: 1, Type : Absolute.
 The feature 2 is ranked 8 and comes from method N°:  1  (spect_fourier_power); channel N°: 1(Fp1); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 2, Type : Retalive.
 The feature 235 is ranked 9 and comes from method N°:  1  (spect_fourier_power); channel N°: 15(Oz); band N°: 6(Gamma     : [32 45] Hz); power type N°: 1, Type : Absolute.
 The feature 61 is ranked 10 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 1, Type : Absolute.
 The feature 23 is ranked 11 and comes from method N°:  1  (spect_fourier_power); channel N°: 2(Fp2); band N°: 4(Alpha     : [12 16] Hz); power type N°: 1, Type : Absolute.
 The feature 164 is ranked 12 and comes from method N°:  1  (spect_fourier_power); channel N°: 11(P3); band N°: 2(Theta     : [4 8] Hz); power type N°: 2, Type : Retalive.
 The feature 114 is ranked 13 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 2, Type : Retalive.
 The feature 123 is ranked 14 and comes from method N°:  1  (spect_fourier_power); channel N°: 8(Cz); band N°: 6(Gamma     : [32 45] Hz); power type N°: 1, Type : Absolute.
 The feature 130 is ranked 15 and comes from method N°:  1  (spect_fourier_power); channel N°: 9(CP5); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 2, Type : Retalive.
 The feature 27 is ranked 16 and comes from method N°:  1  (spect_fourier_power); channel N°: 2(Fp2); band N°: 6(Gamma     : [32 45] Hz); power type N°: 1, Type : Absolute.
 The feature 25 is ranked 17 and comes from method N°:  1  (spect_fourier_power); channel N°: 2(Fp2); band N°: 5(Beta      : [16 32] Hz); power type N°: 1, Type : Absolute.
 The feature 50 is ranked 18 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 2, Type : Retalive.
 The feature 222 is ranked 19 and comes from method N°:  1  (spect_fourier_power); channel N°: 14(O1); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 2, Type : Retalive.
 The feature 195 is ranked 20 and comes from method N°:  1  (spect_fourier_power); channel N°: 13(P4); band N°: 2(Theta     : [4 8] Hz); power type N°: 1, Type : Absolute.
 The feature 163 is ranked 21 and comes from method N°:  1  (spect_fourier_power); channel N°: 11(P3); band N°: 2(Theta     : [4 8] Hz); power type N°: 1, Type : Absolute.
 The feature 147 is ranked 22 and comes from method N°:  1  (spect_fourier_power); channel N°: 10(CP6); band N°: 2(Theta     : [4 8] Hz); power type N°: 1, Type : Absolute.
 The feature 211 is ranked 23 and comes from method N°:  1  (spect_fourier_power); channel N°: 14(O1); band N°: 2(Theta     : [4 8] Hz); power type N°: 1, Type : Absolute.
 The feature 62 is ranked 24 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 2, Type : Retalive.
 The feature 54 is ranked 25 and comes from method N°:  1  (spect_fourier_power); channel N°: 4(F3); band N°: 3(Mu        : [8 12] Hz); power type N°: 2, Type : Retalive.
 The feature 153 is ranked 26 and comes from method N°:  1  (spect_fourier_power); channel N°: 10(CP6); band N°: 5(Beta      : [16 32] Hz); power type N°: 1, Type : Absolute.
 The feature 250 is ranked 27 and comes from method N°:  1  (spect_fourier_power); channel N°: 16(O2); band N°: 5(Beta      : [16 32] Hz); power type N°: 2, Type : Retalive.
 The feature 214 is ranked 28 and comes from method N°:  1  (spect_fourier_power); channel N°: 14(O1); band N°: 3(Mu        : [8 12] Hz); power type N°: 2, Type : Retalive.
 The feature 162 is ranked 29 and comes from method N°:  1  (spect_fourier_power); channel N°: 11(P3); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 2, Type : Retalive.
 The feature 242 is ranked 30 and comes from method N°:  1  (spect_fourier_power); channel N°: 16(O2); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 2, Type : Retalive.
 The feature 148 is ranked 31 and comes from method N°:  1  (spect_fourier_power); channel N°: 10(CP6); band N°: 2(Theta     : [4 8] Hz); power type N°: 2, Type : Retalive.
 The feature 68 is ranked 32 and comes from method N°:  1  (spect_fourier_power); channel N°: 5(Fz); band N°: 2(Theta     : [4 8] Hz); power type N°: 2, Type : Retalive.
 The feature 193 is ranked 33 and comes from method N°:  1  (spect_fourier_power); channel N°: 13(P4); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 1, Type : Absolute.
 The feature 177 is ranked 34 and comes from method N°:  1  (spect_fourier_power); channel N°: 12(Pz); band N°: 1(Delta     : [0.1 4] Hz); power type N°: 1, Type : Absolute.
 The feature 94 is ranked 35 and comes from method N°:  1  (spect_fourier_power); channel N°: 6(F4); band N°: 7(Gamma_high: [45 90] Hz); power type N°: 2, Type : Retalive.
